page,category,subcategory,question,choices,answer,explanation
7,内分泌,副腎皮質,クッシング病でみられるのはどれか,"月経異常|るいそう|低血圧|恥毛脱落",月経異常,"コルチゾール過剰で中心性肥満・高血圧・月経異常などがみられる。"
7,内分泌,成長ホルモン異常,低身長となる疾患はどれか,"マルファン症候群|シーハン症候群|下垂体前葉機能不全症|バセドウ病",下垂体前葉機能不全症,"成長ホルモン分泌低下により低身長となるため、下垂体前葉機能不全症が正解。"
7,内分泌,成長ホルモン異常,末端肥大症について誤っているのはどれか,"咬合不全|両耳側半盲|眼球突出|指尖部肥大",眼球突出,"眼球突出はバセドウ病に特徴的であり、末端肥大症ではみられない。"
7,内分泌,成長ホルモン異常,末端肥大症で成長ホルモン過剰によらないのはどれか,"心肥大|下顎突出|舌肥大|視力障害",視力障害,"視力障害は腫瘍による圧迫症状でありGH過剰そのものの作用ではない。"
7,内分泌,成長ホルモン異常,末端肥大症について誤っているのはどれか,"高身長が特徴|糖尿病合併あり|成人発症|高血圧あり",高身長が特徴,"成人発症では骨端線閉鎖後のため高身長にはならない。"
8,内分泌,成長ホルモン異常,低身長症で誤っているのはどれか,"脳腫瘍が最多原因|GH低値|ソマトメジン低値|均整あり",脳腫瘍が最多原因,"GH欠乏の原因は特発性が多く、腫瘍が最多ではない。"
8,内分泌,尿崩症,尿崩症（中枢性）で正しいのはどれか,"下垂体腺腫が原因|尿量減少|水制限で減らない|夜間排尿増加なし",水制限で減らない,"ADH欠乏のため尿濃縮できず、水制限しても尿量は減らない。"
8,内分泌,甲状腺機能低下,粘液水腫で誤っているのはどれか,"甲状腺機能低下|寒がり|頻脈|TSH上昇",頻脈,"甲状腺機能低下では徐脈となる。"
8,内分泌,甲状腺機能亢進,バセドウ病でみられる症候はどれか,"手指振戦|寒がり|眼瞼下垂|徐脈",手指振戦,"交感神経亢進により振戦・頻脈・発汗増加がみられる。"
8,内分泌,甲状腺機能亢進,バセドウ病の症状で誤っているのはどれか,"発汗過多|月経過多|食欲亢進|下痢",月経過多,"通常は月経減少・無月経となる。"
8,内分泌,甲状腺機能低下,甲状腺機能低下症でみられないのはどれか,"テタニー|嗄声|便秘|言語緩慢",テタニー,"テタニーは低カルシウム血症でみられ、甲状腺機能低下ではない。"
8,内分泌,甲状腺機能亢進,メルゼブルグの三徴でないのはどれか,"発汗過多|頻脈|眼球突出|甲状腺腫",発汗過多,"三徴は甲状腺腫・眼球突出・頻脈である。"
8,内分泌,甲状腺機能亢進,甲状腺機能亢進症でよくみられる症状はどれか,"体重減少|発汗減少|食欲低下|記憶力低下",体重減少,"代謝亢進により体重減少、発汗増加、食欲亢進がみられる。"
9,内分泌,総論,内分泌疾患で誤っているのはどれか,"バセドウは男性多い|粘液水腫は低下|尿崩症はADH異常|褐色細胞腫は高血圧",バセドウは男性多い,"バセドウ病は女性に多い。"
9,内分泌,副腎不全,アジソン病の症状でないのはどれか,"易疲労性|色素沈着|高血圧|無月経",高血圧,"副腎皮質ホルモン低下により低血圧となる。"
9,内分泌,総論,組合せで誤っているのはどれか,"糖尿病-多尿|褐色細胞腫-高血圧|バセドウ-眼球陥凹|先端巨大症-舌肥大",バセドウ-眼球陥凹,"バセドウ病は眼球突出であり陥凹ではない。"
9,内分泌,アルドステロン,高血圧がみられない疾患はどれか,"原発性アルドステロン症|クッシング|アジソン病|褐色細胞腫",アジソン病,"副腎皮質機能低下により低血圧を呈する。"
9,内分泌,アルドステロン,四肢麻痺をきたす疾患はどれか,"褐色細胞腫|尿崩症|アジソン病|原発性アルドステロン症",原発性アルドステロン症,"低カリウム血症により筋力低下や麻痺が生じる。"
9,内分泌,電解質異常,低カリウム血症の症状でないのはどれか,"腱反射亢進|四肢麻痺|腹部膨満|脱力感",腱反射亢進,"低Kでは筋力低下・麻痺がみられ腱反射は低下する。"
9,内分泌,電解質異常,筋力低下をきたさないのはどれか,"バセドウ病|褐色細胞腫|原発性アルドステロン症|低カリウム血症",褐色細胞腫,"褐色細胞腫では主に高血圧・代謝亢進症状が主体。"
9,内分泌,電解質異常,血清カリウムの組合せで正しいのはどれか,"アジソン-低K|コン症候群-低K|クッシング-高K|バセドウ-高K",コン症候群-低K,"アルドステロン過剰により低K血症となる。"
10,内分泌,副腎不全,低血圧がみられる疾患はどれか,"クッシング症候群|コン症候群|シモンズ病|レイノー病",シモンズ病,"下垂体機能低下により副腎機能も低下し低血圧となる。"
10,内分泌,アルドステロン,症例問題で考えられる疾患はどれか,"尿崩症|原発性アルドステロン症|褐色細胞腫|副甲状腺機能亢進症",原発性アルドステロン症,"高血圧＋低K＋筋力低下は典型例。"
10,内分泌,副腎不全,ACTH増加による症状はどれか,"腋毛脱落|色素沈着|低血圧|低血糖",色素沈着,"ACTH過剰によりメラニン増加し色素沈着が起こる。"
10,内分泌,アルドステロン,腎で再吸収が亢進しているのはどれか,"Na|K|H|Ca",Na,"アルドステロンはNa再吸収促進。"
10,内分泌,副腎不全,アジソン病でみられないのはどれか,"多毛|黒色斑点|低血圧|月経異常",多毛,"副腎機能低下でアンドロゲン減少し体毛は減る。"
10,内分泌,アルドステロン,原発性アルドステロン症で正しいのはどれか,"低血圧|アルカローシス|高Mg血症|レニン高値",アルカローシス,"低Kに伴い代謝性アルカローシスを呈し、レニンは低下する。"
10,内分泌,甲状腺機能低下,女性に多い疾患はどれか,"橋本病|尿崩症|先端巨大症|アルドステロン症",橋本病,"自己免疫疾患で女性に多い。"
10,内分泌,褐色細胞腫,褐色細胞腫でない症状はどれか,"高血糖|肥満|高血圧|動悸",肥満,"代謝亢進によりむしろ体重減少がみられる。"
